order_date,order_count,group,rolling_7d,is_ramadan
2023-01-01,15,Cafe daytime,8.0,False
2023-01-02,7,Cafe daytime,8.0,False
2023-01-03,7,Cafe daytime,8.833333333333334,False
2023-01-04,3,Cafe daytime,8.857142857142858,False
2023-01-05,8,Cafe daytime,7.857142857142857,False
2023-01-06,13,Cafe daytime,7.428571428571429,False
2023-01-07,9,Cafe daytime,8.142857142857142,False
2023-01-08,8,Cafe daytime,9.142857142857142,False
2023-01-09,4,Cafe daytime,8.857142857142858,False
2023-01-10,12,Cafe daytime,8.285714285714286,False
2023-01-11,10,Cafe daytime,8.285714285714286,False
2023-01-12,6,Cafe daytime,8.285714285714286,False
2023-01-13,9,Cafe daytime,8.285714285714286,False
2023-01-14,9,Cafe daytime,7.714285714285714,False
2023-01-15,8,Cafe daytime,7.571428571428571,False
2023-01-16,4,Cafe daytime,8.0,False
2023-01-17,8,Cafe daytime,7.857142857142857,False
2023-01-18,9,Cafe daytime,8.571428571428571,False
2023-01-19,9,Cafe daytime,9.428571428571429,False
2023-01-20,8,Cafe daytime,9.571428571428571,False
2023-01-21,14,Cafe daytime,9.142857142857142,False
2023-01-22,14,Cafe daytime,8.714285714285714,False
2023-01-23,5,Cafe daytime,8.142857142857142,False
2023-01-24,5,Cafe daytime,7.714285714285714,False
2023-01-25,6,Cafe daytime,7.571428571428571,False
2023-01-26,5,Cafe daytime,7.0,False
2023-01-27,5,Cafe daytime,6.857142857142857,False
2023-01-28,13,Cafe daytime,7.142857142857143,False
2023-01-29,10,Cafe daytime,7.142857142857143,False
2023-01-30,4,Cafe daytime,7.0,False
2023-01-31,7,Cafe daytime,7.142857142857143,False
2023-02-01,6,Cafe daytime,6.285714285714286,False
2023-02-02,4,Cafe daytime,6.428571428571429,False
2023-02-03,6,Cafe daytime,7.0,False
2023-02-04,7,Cafe daytime,7.714285714285714,False
2023-02-05,11,Cafe daytime,7.714285714285714,False
2023-02-06,8,Cafe daytime,8.571428571428571,False
2023-02-07,12,Cafe daytime,9.428571428571429,False
2023-02-08,6,Cafe daytime,10.285714285714286,False
2023-02-09,10,Cafe daytime,10.571428571428571,False
2023-02-10,12,Cafe daytime,10.142857142857142,False
2023-02-11,13,Cafe daytime,9.142857142857142,False
2023-02-12,13,Cafe daytime,9.0,False
2023-02-13,5,Cafe daytime,8.285714285714286,False
2023-02-14,5,Cafe daytime,8.142857142857142,False
2023-02-15,5,Cafe daytime,8.0,False
2023-02-16,5,Cafe daytime,7.428571428571429,False
2023-02-17,11,Cafe daytime,7.571428571428571,False
2023-02-18,12,Cafe daytime,8.0,False
2023-02-19,9,Cafe daytime,8.714285714285714,False
2023-02-20,6,Cafe daytime,10.0,False
2023-02-21,8,Cafe daytime,10.857142857142858,False
2023-02-22,10,Cafe daytime,11.142857142857142,False
2023-02-23,14,Cafe daytime,11.142857142857142,False
2023-02-24,17,Cafe daytime,11.0,False
2023-02-25,14,Cafe daytime,10.714285714285714,False
2023-02-26,9,Cafe daytime,11.0,False
2023-02-27,5,Cafe daytime,10.142857142857142,False
2023-02-28,6,Cafe daytime,9.0,False
2023-03-01,12,Cafe daytime,7.714285714285714,False
2023-03-02,8,Cafe daytime,7.857142857142857,False
2023-03-03,9,Cafe daytime,8.714285714285714,False
2023-03-04,5,Cafe daytime,9.428571428571429,False
2023-03-05,10,Cafe daytime,9.0,False
2023-03-06,11,Cafe daytime,9.0,False
2023-03-07,11,Cafe daytime,8.857142857142858,False
2023-03-08,9,Cafe daytime,10.285714285714286,False
2023-03-09,8,Cafe daytime,11.0,False
2023-03-10,8,Cafe daytime,10.714285714285714,False
2023-03-11,15,Cafe daytime,11.285714285714286,False
2023-03-12,15,Cafe daytime,11.142857142857142,False
2023-03-13,9,Cafe daytime,11.428571428571429,False
2023-03-14,15,Cafe daytime,11.714285714285714,False
2023-03-15,8,Cafe daytime,10.571428571428571,False
2023-03-16,10,Cafe daytime,10.428571428571429,False
2023-03-17,10,Cafe daytime,11.428571428571429,False
2023-03-18,7,Cafe daytime,10.285714285714286,False
2023-03-19,14,Cafe daytime,9.142857142857142,False
2023-03-20,16,Cafe daytime,8.142857142857142,False
2023-03-21,7,Cafe daytime,6.857142857142857,False
2023-03-22,0,Cafe daytime,6.0,False
2023-03-23,3,Cafe daytime,4.428571428571429,True
2023-03-24,1,Cafe daytime,2.7142857142857144,True
2023-03-25,1,Cafe daytime,2.0,True
2023-03-26,3,Cafe daytime,2.7142857142857144,True
2023-03-27,4,Cafe daytime,2.4285714285714284,True
2023-03-28,2,Cafe daytime,2.857142857142857,True
2023-03-29,5,Cafe daytime,3.142857142857143,True
2023-03-30,1,Cafe daytime,3.7142857142857144,True
2023-03-31,4,Cafe daytime,3.2857142857142856,True
2023-04-01,3,Cafe daytime,3.5714285714285716,True
2023-04-02,7,Cafe daytime,3.0,True
2023-04-03,1,Cafe daytime,3.0,True
2023-04-04,4,Cafe daytime,3.2857142857142856,True
2023-04-05,1,Cafe daytime,3.857142857142857,True
2023-04-06,1,Cafe daytime,3.2857142857142856,True
2023-04-07,6,Cafe daytime,3.857142857142857,True
2023-04-08,7,Cafe daytime,3.4285714285714284,True
2023-04-09,3,Cafe daytime,3.5714285714285716,True
2023-04-10,5,Cafe daytime,4.285714285714286,True
2023-04-11,1,Cafe daytime,3.7142857142857144,True
2023-04-12,2,Cafe daytime,3.0,True
2023-04-13,6,Cafe daytime,3.4285714285714284,True
2023-04-14,2,Cafe daytime,3.2857142857142856,True
2023-04-15,2,Cafe daytime,3.2857142857142856,True
2023-04-16,6,Cafe daytime,3.7142857142857144,True
2023-04-17,4,Cafe daytime,3.142857142857143,True
2023-04-18,1,Cafe daytime,4.714285714285714,True
2023-04-19,5,Cafe daytime,7.142857142857143,True
2023-04-20,2,Cafe daytime,8.285714285714286,True
2023-04-21,13,Cafe daytime,8.571428571428571,True
2023-04-22,19,Cafe daytime,9.285714285714286,False
2023-04-23,14,Cafe daytime,9.428571428571429,False
2023-04-24,6,Cafe daytime,10.857142857142858,False
2023-04-25,6,Cafe daytime,10.0,False
2023-04-26,6,Cafe daytime,9.142857142857142,False
2023-04-27,12,Cafe daytime,8.714285714285714,False
2023-04-28,7,Cafe daytime,10.142857142857142,False
2023-04-29,13,Cafe daytime,10.142857142857142,False
2023-04-30,11,Cafe daytime,10.285714285714286,False
2023-05-01,16,Cafe daytime,9.428571428571429,False
2023-05-02,6,Cafe daytime,10.0,False
2023-05-03,7,Cafe daytime,9.285714285714286,False
2023-05-04,6,Cafe daytime,9.857142857142858,False
2023-05-05,11,Cafe daytime,8.285714285714286,False
2023-05-06,8,Cafe daytime,8.142857142857142,False
2023-05-07,15,Cafe daytime,8.142857142857142,False
2023-05-08,5,Cafe daytime,8.714285714285714,False
2023-05-09,5,Cafe daytime,9.0,False
2023-05-10,7,Cafe daytime,10.142857142857142,False
2023-05-11,10,Cafe daytime,10.142857142857142,False
2023-05-12,13,Cafe daytime,10.571428571428571,False
2023-05-13,16,Cafe daytime,11.571428571428571,False
2023-05-14,15,Cafe daytime,11.571428571428571,False
2023-05-15,8,Cafe daytime,11.571428571428571,False
2023-05-16,12,Cafe daytime,10.571428571428571,False
2023-05-17,7,Cafe daytime,9.714285714285714,False
2023-05-18,10,Cafe daytime,8.428571428571429,False
2023-05-19,6,Cafe daytime,8.857142857142858,False
2023-05-20,10,Cafe daytime,8.428571428571429,False
2023-05-21,6,Cafe daytime,8.285714285714286,False
2023-05-22,11,Cafe daytime,7.857142857142857,False
2023-05-23,9,Cafe daytime,8.142857142857142,False
2023-05-24,6,Cafe daytime,7.857142857142857,False
2023-05-25,7,Cafe daytime,8.571428571428571,False
2023-05-26,8,Cafe daytime,8.142857142857142,False
2023-05-27,8,Cafe daytime,7.571428571428571,False
2023-05-28,11,Cafe daytime,8.571428571428571,False
2023-05-29,8,Cafe daytime,8.857142857142858,False
2023-05-30,5,Cafe daytime,9.142857142857142,False
2023-05-31,13,Cafe daytime,9.571428571428571,False
2023-06-01,9,Cafe daytime,8.857142857142858,False
2023-06-02,10,Cafe daytime,9.0,False
2023-06-03,11,Cafe daytime,9.571428571428571,False
2023-06-04,6,Cafe daytime,9.0,False
2023-06-05,9,Cafe daytime,10.285714285714286,False
2023-06-06,9,Cafe daytime,10.571428571428571,False
2023-06-07,9,Cafe daytime,10.714285714285714,False
2023-06-08,18,Cafe daytime,11.857142857142858,False
2023-06-09,12,Cafe daytime,11.428571428571429,False
2023-06-10,12,Cafe daytime,11.0,False
2023-06-11,14,Cafe daytime,12.142857142857142,False
2023-06-12,6,Cafe daytime,10.857142857142858,False
2023-06-13,6,Cafe daytime,11.285714285714286,False
2023-06-14,17,Cafe daytime,11.571428571428571,False
2023-06-15,9,Cafe daytime,11.142857142857142,False
2023-06-16,15,Cafe daytime,11.714285714285714,False
2023-06-17,14,Cafe daytime,12.0,False
2023-06-18,11,Cafe daytime,10.428571428571429,False
2023-06-19,10,Cafe daytime,11.0,False
2023-06-20,8,Cafe daytime,10.571428571428571,False
2023-06-21,6,Cafe daytime,10.857142857142858,False
2023-06-22,13,Cafe daytime,11.428571428571429,False
2023-06-23,12,Cafe daytime,11.142857142857142,False
2023-06-24,16,Cafe daytime,11.428571428571429,False
2023-06-25,15,Cafe daytime,12.857142857142858,False
2023-06-26,8,Cafe daytime,13.0,False
2023-06-27,10,Cafe daytime,14.0,False
2023-06-28,16,Cafe daytime,13.428571428571429,False
2023-06-29,14,Cafe daytime,13.714285714285714,False
2023-06-30,19,Cafe daytime,14.142857142857142,False
2023-07-01,12,Cafe daytime,14.428571428571429,False
2023-07-02,17,Cafe daytime,14.0,False
2023-07-03,11,Cafe daytime,13.857142857142858,False
2023-07-04,12,Cafe daytime,12.571428571428571,False
2023-07-05,13,Cafe daytime,12.285714285714286,False
2023-07-06,13,Cafe daytime,11.571428571428571,False
2023-07-07,10,Cafe daytime,11.0,False
2023-07-08,10,Cafe daytime,10.428571428571429,False
2023-07-09,12,Cafe daytime,9.714285714285714,False
2023-07-10,7,Cafe daytime,9.142857142857142,False
2023-07-11,8,Cafe daytime,9.142857142857142,False
2023-07-12,8,Cafe daytime,10.0,False
2023-07-13,9,Cafe daytime,10.142857142857142,False
2023-07-14,10,Cafe daytime,11.285714285714286,False
2023-07-15,16,Cafe daytime,11.714285714285714,False
2023-07-16,13,Cafe daytime,12.142857142857142,False
2023-07-17,15,Cafe daytime,12.285714285714286,False
2023-07-18,11,Cafe daytime,12.428571428571429,False
2023-07-19,11,Cafe daytime,11.285714285714286,False
2023-07-20,10,Cafe daytime,10.571428571428571,False
2023-07-21,11,Cafe daytime,10.285714285714286,False
2023-07-22,8,Cafe daytime,10.857142857142858,False
2023-07-23,8,Cafe daytime,10.571428571428571,False
2023-07-24,13,Cafe daytime,11.0,False
2023-07-25,15,Cafe daytime,10.857142857142858,False
