customer_id,profile_transaction_match,archetype,price_tier,time_preference,day_preference,basket_size_bias,preferred_sections,preferred_categories,expected_visits,actual_visits,visit_gap,visit_ratio,under_engaged_flag,last_order_date,first_order_date,frequency,monetary,recency,customer_tenure_days,monetary_per_order,R_score,F_score,M_score,rfm_score,rfm_code,total_orders,avg_order_value,median_order_value,max_order_value,avg_basket_size,median_basket_size,avg_unique_items_per_order,avg_categories_per_order,avg_item_price,avg_discount_pct,discount_order_rate,total_discount_amount_est,payment_share_card,payment_share_cash,payment_share_mobile,preferred_payment_method,avg_order_hour,std_order_hour,weekend_order_rate,dow_share_friday,dow_share_monday,dow_share_saturday,dow_share_sunday,dow_share_thursday,dow_share_tuesday,dow_share_wednesday,meal_share_dinner,meal_share_late_night,meal_share_lunch,meal_share_morning,dominant_meal_period,dominant_day_of_week,category_share_alcohol,category_share_appetizer,category_share_bakery,category_share_beverage,category_share_dessert,category_share_food,category_share_main,category_share_side,section_share_american,section_share_cafe,section_share_healthy_vegan,section_share_italian,section_share_japanese,section_share_mexican,section_share_steakhouse,unique_items_bought,unique_categories_bought,unique_sections_bought,dominant_category,dominant_section,rfm_segment,gmm_cluster,kmeans_cluster,kmeans_segment_name,rfm_value_tier,hybrid_segment
5673,both,infrequent,mid,dinner,any,medium,"Steakhouse,Mexican","Main,Food",4.0,4.0,0.0,1.0,0,2023-10-06 20:30:00,2023-05-14 19:30:00,4.0,165.0,818.0,145.0,41.25,1,3,4,8,134,4.0,41.25,37.5,70.0,3.0,3.0,3.0,1.5,14.333333333333332,0.0,0.0,0.0,0.75,0.0,0.25,card,19.0,0.816496580927726,0.75,0.25,0.0,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Sunday,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.8727272727272727,0.0545454545454545,0.0,0.0,0.0,0.3090909090909091,0.1454545454545454,0.1212121212121212,0.4242424242424242,12.0,3.0,4.0,Main,Steakhouse,Others,1,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
9550,both,one_timer,mid,dinner,any,large,"Steakhouse,American","Alcohol,Bakery,Beverage",1.0,1.0,0.0,1.0,0,2023-03-29 20:30:00,2023-03-29 20:30:00,1.0,114.0,1009.0,0.0,114.0,1,1,3,5,113,1.0,114.0,114.0,114.0,5.0,5.0,5.0,3.0,22.8,0.0,0.0,0.0,0.0,0.0,1.0,mobile,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dinner,Wednesday,0.2543859649122807,0.0,0.0,0.0,0.0,0.0,0.6403508771929824,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,Main,Steakhouse,Others,3,0,High-Value Inactive Large-Basket,Low-Value,Low-Value | High-Value Inactive Large-Basket
7487,both,infrequent,premium,dinner,weekday,large,Steakhouse,"Bakery,Food",2.0,2.0,0.0,1.0,0,2023-04-11 20:00:00,2023-02-10 19:00:00,2.0,105.0,996.0,60.0,52.5,1,2,3,6,123,2.0,52.5,52.5,57.5,4.0,4.0,4.0,1.5,13.125,0.0,0.0,0.0,0.5,0.0,0.5,card,19.5,0.7071067811865476,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,dinner,Friday,0.0857142857142857,0.0,0.0,0.0,0.0,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.4523809523809524,0.0,8.0,2.0,2.0,Main,Italian,Others,1,0,High-Value Inactive Large-Basket,Low-Value,Low-Value | High-Value Inactive Large-Basket
7257,both,infrequent,mid,dinner,weekday,large,"Italian,American","Appetizer,Main",4.0,4.0,0.0,1.0,0,2023-10-15 18:30:00,2023-04-07 20:00:00,4.0,212.5,809.0,190.0,53.125,1,3,4,8,134,4.0,53.125,57.75,82.0,3.0,3.0,3.0,1.25,17.0,0.0,0.0,0.0,0.5,0.0,0.5,card,19.5,1.2909944487358056,0.25,0.25,0.0,0.0,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Thursday,0.0705882352941176,0.0847058823529411,0.0,0.0,0.0,0.0,0.8447058823529412,0.0,0.0,0.0,0.0,0.6141176470588235,0.0,0.0,0.3858823529411764,11.0,3.0,2.0,Main,Italian,Others,1,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
2211,both,occasional,mid,dinner,weekend,medium,Mexican,"Side,Dessert",6.0,6.0,0.0,1.0,0,2024-01-30 20:00:00,2023-04-15 19:00:00,6.0,166.52,702.0,290.0,27.75333333333333,2,4,4,10,244,6.0,27.75333333333333,20.51,46.0,2.6666666666666665,2.5,2.6666666666666665,2.0,10.180555555555555,0.8333333333333334,0.1666666666666666,0.975,0.5,0.3333333333333333,0.1666666666666666,card,19.83333333333333,0.752772652709081,0.6666666666666666,0.1666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,dinner,Saturday,0.1798582752822484,0.0,0.0,0.0,0.0,0.0,0.6640043238049483,0.1561374009128033,0.0,0.0,0.0,0.3723276483305309,0.0,0.6276723516694692,0.0,12.0,3.0,2.0,Main,Mexican,At Risk,1,4,Low-Value Inactive Standard,Mid-Value,Mid-Value | Low-Value Inactive Standard
4767,both,infrequent,mid,dinner,any,large,American,"Dessert,Alcohol",3.0,3.0,0.0,1.0,0,2023-12-07 13:00:00,2023-05-04 20:30:00,3.0,163.0,756.0,216.0,54.333333333333336,1,2,4,7,124,3.0,54.333333333333336,39.5,93.0,4.666666666666667,5.0,4.666666666666667,3.0,11.375,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,card,17.333333333333332,3.785938897200182,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,dinner,Thursday,0.0,0.1871165644171779,0.0,0.0337423312883435,0.0552147239263803,0.0,0.6012269938650306,0.1226993865030674,0.4294478527607362,0.0,0.0,0.0,0.0,0.0,0.5705521472392638,12.0,5.0,2.0,Main,Steakhouse,Others,1,0,High-Value Inactive Large-Basket,Low-Value,Low-Value | High-Value Inactive Large-Basket
6630,both,infrequent,mid,dinner,weekday,large,Italian,"Dessert,Food,Bakery",3.0,3.0,0.0,1.0,0,2023-12-25 20:30:00,2023-04-25 19:00:00,3.0,136.0,738.0,244.0,45.333333333333336,1,3,4,8,134,3.0,45.333333333333336,33.5,81.5,4.0,4.0,4.0,3.0,10.905555555555557,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,card,19.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,dinner,Friday,0.1102941176470588,0.1397058823529411,0.0,0.0183823529411764,0.0404411764705882,0.0,0.6507352941176471,0.0404411764705882,0.0,0.0,0.0,0.8455882352941176,0.1544117647058823,0.0,0.0,11.0,6.0,2.0,Main,Italian,Others,4,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
7332,both,infrequent,premium,dinner,any,medium,Steakhouse,"Side,Appetizer",2.0,2.0,0.0,1.0,0,2023-11-03 20:00:00,2023-02-05 21:00:00,2.0,117.0,790.0,270.0,58.5,1,2,3,6,123,2.0,58.5,58.5,66.0,2.5,2.5,2.5,2.5,23.75,0.0,0.0,0.0,1.0,0.0,0.0,card,20.5,0.7071067811865476,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Friday,0.1282051282051282,0.2735042735042735,0.0,0.0,0.0,0.0,0.5982905982905983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,Main,Steakhouse,Others,1,0,High-Value Inactive Large-Basket,Low-Value,Low-Value | High-Value Inactive Large-Basket
2619,both,occasional,budget,dinner,weekday,medium,"Steakhouse,American","Beverage,Alcohol",6.0,6.0,0.0,1.0,0,2024-04-13 19:30:00,2023-05-23 12:00:00,6.0,136.2,628.0,326.0,22.7,2,4,4,10,244,6.0,22.7,21.5,36.0,2.333333333333333,2.5,2.333333333333333,1.6666666666666667,10.416666666666666,5.833333333333333,0.3333333333333333,6.8,0.5,0.1666666666666666,0.3333333333333333,card,18.166666666666668,3.0605010483034745,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.0,0.1666666666666666,0.0,dinner,Thursday,0.4038179148311307,0.0,0.0,0.0,0.066079295154185,0.0,0.3274596182085169,0.2026431718061674,0.2790014684287812,0.0,0.0,0.0,0.0748898678414096,0.0,0.6461086637298091,13.0,4.0,3.0,Alcohol,Steakhouse,At Risk,1,4,Low-Value Inactive Standard,Mid-Value,Mid-Value | Low-Value Inactive Standard
2186,both,occasional,budget,dinner,weekend,medium,Italian,"Main,Food,Alcohol",5.0,5.0,0.0,1.0,0,2023-12-04 21:00:00,2023-01-21 19:00:00,5.0,187.0,759.0,317.0,37.4,1,3,4,8,134,5.0,37.4,39.0,56.5,3.6,4.0,3.6,2.6,10.235,0.0,0.0,0.0,0.8,0.2,0.0,card,20.2,0.8366600265340753,0.8,0.0,0.2,0.6,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Saturday,0.1978609625668449,0.0,0.0,0.03475935828877,0.0614973262032085,0.0,0.679144385026738,0.0267379679144385,0.0962566844919786,0.0,0.0,0.6951871657754011,0.0,0.2085561497326203,0.0,17.0,5.0,3.0,Main,Italian,Others,2,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
