week_start,item_name,quantity,section,category,avg_price,item_id,split
2023-01-03,14oz Ribeye,10,Steakhouse,Main,32.0,1,train
2023-01-03,8oz Filet Mignon,8,Steakhouse,Main,34.955182795698924,2,train
2023-01-03,Acai Berry Bowl,9,Healthy_Vegan,Food,9.493237367802587,3,train
2023-01-03,Almond Croissant,9,Cafe,Bakery,4.25,4,train
2023-01-03,Apple Pie,3,American,Dessert,5.0,5,train
2023-01-03,Avocado Toast,16,Cafe,Food,7.998151471643934,6,train
2023-01-03,Bacon Double Burger,17,American,Main,11.997911927675705,7,train
2023-01-03,Beef Lasagna,8,Italian,Main,16.98437701396348,8,train
2023-01-03,Beef Tacos (3pc),14,Mexican,Main,11.0,9,train
2023-01-03,Black Tea,10,Cafe,Beverage,2.5,10,train
2023-01-03,Blueberry Muffin,11,Cafe,Bakery,3.748081671415005,11,train
2023-01-03,Breakfast Sandwich (Egg & Cheese),10,Cafe,Food,6.498472276075999,12,train
2023-01-03,Bruschetta,3,Italian,Appetizer,8.0,13,train
2023-01-03,Buffalo Wings (10pc),9,American,Appetizer,12.5,14,train
2023-01-03,Butter Croissant,7,Cafe,Bakery,3.5,15,train
2023-01-03,California Roll,7,Japanese,Main,6.996050847457627,16,train
2023-01-03,Cannoli,0,Italian,Dessert,6.0,17,train
2023-01-03,Cappuccino,9,Cafe,Beverage,4.498096571028691,18,train
2023-01-03,Caprese Salad,0,Italian,Side,9.0,19,train
2023-01-03,Caramel Flan,2,Mexican,Dessert,5.5,20,train
2023-01-03,Caramel Macchiato,7,Cafe,Beverage,5.247991660875607,21,train
2023-01-03,Chardonnay (Glass),1,Steakhouse,Alcohol,12.0,22,train
2023-01-03,Cheese Quesadilla,9,Mexican,Main,8.5,23,train
2023-01-03,Chicken Burrito,6,Mexican,Main,10.493969979296066,24,train
2023-01-03,Chicken Enchiladas,11,Mexican,Main,13.0,25,train
2023-01-03,Chicken Tenders (4pc),17,American,Main,8.998525791324736,26,train
2023-01-03,Chicken Teriyaki Bento,4,Japanese,Main,14.992618243243243,27,train
2023-01-03,Chocolate Brownie,2,American,Dessert,4.5,28,train
2023-01-03,Chocolate Chip Cookie,9,Cafe,Bakery,2.5,29,train
2023-01-03,Churros with Chocolate,2,Mexican,Dessert,5.99424791086351,30,train
2023-01-03,Classic Cheeseburger,12,American,Main,9.5,31,train
2023-01-03,Classic Margarita,6,Mexican,Alcohol,10.0,32,train
2023-01-03,Coca-Cola,12,American,Beverage,2.5,33,train
2023-01-03,Coconut Water,7,Healthy_Vegan,Beverage,4.0,34,train
2023-01-03,Cold Brew Coffee,5,Cafe,Beverage,4.498591147072823,35,train
2023-01-03,Cold Pressed Green Juice,7,Healthy_Vegan,Beverage,7.0,36,train
2023-01-03,Corona Extra,3,Mexican,Alcohol,5.5,37,train
2023-01-03,Creamed Spinach,5,Steakhouse,Side,8.0,38,train
2023-01-03,Crispy Chicken Sandwich,9,American,Main,10.495940199335548,39,train
2023-01-03,Crème Brûlée,2,Steakhouse,Dessert,10.0,40,train
2023-01-03,Diet Coke,9,American,Beverage,2.499221411192214,41,train
2023-01-03,Dr Pepper,10,American,Beverage,2.5,42,train
2023-01-03,Dragon Roll,9,Japanese,Main,12.992113144758735,43,train
2023-01-03,Edamame,10,Japanese,Appetizer,5.0,44,train
2023-01-03,Espresso,5,Cafe,Beverage,3.0,45,train
2023-01-03,Everything Bagel with Cream Cheese,9,Cafe,Bakery,4.5,46,train
2023-01-03,Fettuccine Alfredo,13,Italian,Main,15.490061590145576,47,train
2023-01-03,French Fries,9,American,Side,3.5,48,train
2023-01-03,Fried Calamari,6,Italian,Appetizer,12.0,49,train
2023-01-03,Fruit Smoothie,2,Cafe,Beverage,6.5,50,train
2023-01-03,Garlic Bread,6,Italian,Side,5.0,51,train
2023-01-03,Garlic Mashed Potatoes,4,Steakhouse,Side,6.996097318768619,52,train
2023-01-03,Green Tea,6,Japanese,Beverage,2.5,53,train
2023-01-03,Green Tea Mochi Ice Cream,1,Japanese,Dessert,4.5,54,train
2023-01-03,Grilled Asparagus,5,Steakhouse,Side,9.0,55,train
2023-01-03,Grilled Atlantic Salmon,5,Steakhouse,Main,25.99063733784546,56,train
2023-01-03,Grilled Tofu Wrap,7,Healthy_Vegan,Main,9.99472972972973,57,train
2023-01-03,Guacamole,4,Mexican,Side,4.494790145985402,58,train
2023-01-03,Herb-Crusted Rack of Lamb,8,Steakhouse,Main,38.0,59,train
2023-01-03,Horchata,5,Mexican,Beverage,4.0,60,train
2023-01-03,Hot Dog with Mustard,16,American,Main,5.999083931666254,61,train
2023-01-03,Hot Sake (Small),4,Japanese,Alcohol,7.0,62,train
2023-01-03,Hummus & Pita,2,Healthy_Vegan,Side,6.5,63,train
2023-01-03,Iced Latte,4,Cafe,Beverage,4.7484972541188215,64,train
2023-01-03,Iced Tea,3,American,Beverage,3.0,65,train
2023-01-03,Jumbo Shrimp Cocktail,2,Steakhouse,Appetizer,16.0,66,train
2023-01-03,Kale & Sweet Potato Salad,14,Healthy_Vegan,Main,11.0,67,train
2023-01-03,Kombucha (Ginger),8,Healthy_Vegan,Beverage,5.0,68,train
2023-01-03,Lemon Gelato,2,Italian,Dessert,5.5,69,train
2023-01-03,Loaded Nachos,6,American,Appetizer,9.0,70,train
2023-01-03,Lobster Ravioli,4,Italian,Main,21.991546321525885,71,train
2023-01-03,Mac & Cheese,7,American,Side,4.9983868974042025,72,train
2023-01-03,Margherita Pizza,8,Italian,Main,13.996096,73,train
2023-01-03,Matcha Green Tea Latte,3,Cafe,Beverage,5.5,74,train
2023-01-03,Meatball Calzone,11,Italian,Main,14.995348326933627,75,train
2023-01-03,Mexican Coke (Glass Bottle),4,Mexican,Beverage,3.4976345177664974,76,train
2023-01-03,Miso Soup,4,Japanese,Side,3.5,77,train
2023-01-03,Modelo Especial,2,Mexican,Alcohol,6.0,78,train
2023-01-03,New York Cheesecake,0,Steakhouse,Dessert,9.0,79,train
2023-01-03,Oatmeal with Berries,14,Cafe,Food,5.499010950194278,80,train
2023-01-03,Old Fashioned Cocktail,5,Steakhouse,Alcohol,14.0,81,train
2023-01-03,Onion Rings,8,American,Side,4.5,82,train
