mae,rmse,mape,smape,wape,mase,r2,bias,item_name,split,n_predictions
2.5548051429947285,3.443270902901092,0.45059736129028194,0.3088296034027209,0.29133742858711814,0.9398033204587751,-0.09851060982419724,-0.4379569773764992,14oz Ribeye,val,13
2.8071958783391446,3.2512062735862846,0.3166624112095893,0.3107374635528247,0.2919483713472711,0.8405266728748021,-0.4155212658048748,1.1401259576743994,8oz Filet Mignon,val,13
2.7726461591564684,3.515949161633996,0.6213966807426808,0.4243322951189633,0.42405176551804813,0.6832118526151106,-0.619504533113117,-0.9627141911457385,Acai Berry Bowl,val,13
2.49046644962255,3.117409643727836,0.4746011956667014,0.35964827608350564,0.3237606384509315,0.732908698031779,0.15078435994289796,-0.4916997148158104,Almond Croissant,val,13
2.6985002100941102,3.294366349100505,1.2162249035456472,0.5817649393749282,0.5750902087085809,1.158106340165389,-0.016702654940409234,-0.9088879251148341,Apple Pie,val,13
4.291704341068889,5.582126030857879,0.8198454680948861,0.36504013902166704,0.3422831683061077,0.8081271428338127,-0.04072374369968612,-1.070792924402696,Avocado Toast,val,13
7.350745136463089,8.533412973871625,0.5124011505834669,0.3732923806419904,0.4191214332193866,1.231100404968615,-2.25051086900852,-6.750365723754494,Bacon Double Burger,val,13
3.4787739827873008,4.667888312583211,0.4823971525278331,0.2950163346538556,0.25842321014991376,0.8352301170794684,0.13437432075954203,-0.7541786103951568,Beef Lasagna,val,13
3.7178265772252694,4.25123499534038,0.2799766245071649,0.27144887014601116,0.26410789892857106,0.8397722312592166,-0.08309816615870069,0.6096078695497964,Beef Tacos (3pc),val,13
3.779959272815465,4.605911030679047,0.5412830898886992,0.3740058198692026,0.3485068833092273,0.9856602660759314,-0.045868254202953374,-1.4341860139518172,Black Tea,val,13
3.6775106742153607,4.0995400948131175,0.4978230534106476,0.40033183049097454,0.3489608668963481,0.8361668861902475,0.34435533260903073,-0.24024714235220418,Blueberry Muffin,val,13
3.4571410088361123,4.9357690968778565,0.8197933356723074,0.36246465760881164,0.3016297524487883,0.6618690035504081,-0.19406815592527926,-0.7426306943614457,Breakfast Sandwich (Egg & Cheese),val,13
2.1698578087266878,2.595559575859471,0.9731957931110921,0.5214182241604728,0.5641630302689388,0.8868863265827336,-1.5994088755713456,-1.2138467932638113,Bruschetta,val,13
2.9580890769893036,3.5217156074857052,0.4779369180074063,0.3552802282214831,0.343349625007687,0.7872950256586518,0.11931963925150368,-0.2796171162239696,Buffalo Wings (10pc),val,13
3.493848694288042,4.558161593147733,0.48783118773589135,0.49131361949101293,0.48319184069941007,0.8330241099807137,-0.567538156903016,-1.7191476692871612,Butter Croissant,val,13
