record_type,k,seed,seed_b,ari,metric,value
pairwise_seed_ari,5,0.0,1.0,0.9978183415033558,pairwise_ari,0.9978183415033558
pairwise_seed_ari,5,0.0,2.0,0.9997884479906619,pairwise_ari,0.9997884479906619
pairwise_seed_ari,5,0.0,3.0,0.9978307568963324,pairwise_ari,0.9978307568963324
pairwise_seed_ari,5,0.0,4.0,0.997606647524386,pairwise_ari,0.997606647524386
pairwise_seed_ari,5,0.0,5.0,0.9978178552134457,pairwise_ari,0.9978178552134457
pairwise_seed_ari,5,0.0,6.0,0.9979699857850867,pairwise_ari,0.9979699857850867
pairwise_seed_ari,5,0.0,7.0,0.997606647524386,pairwise_ari,0.997606647524386
pairwise_seed_ari,5,0.0,8.0,0.9975656501284376,pairwise_ari,0.9975656501284376
pairwise_seed_ari,5,0.0,9.0,0.9977367477539755,pairwise_ari,0.9977367477539755
pairwise_seed_ari,5,0.0,10.0,0.9959321266163391,pairwise_ari,0.9959321266163391
pairwise_seed_ari,5,0.0,11.0,0.9978183415033558,pairwise_ari,0.9978183415033558
pairwise_seed_ari,5,0.0,12.0,0.9931188045699242,pairwise_ari,0.9931188045699242
pairwise_seed_ari,5,0.0,13.0,0.9978178552134457,pairwise_ari,0.9978178552134457
pairwise_seed_ari,5,0.0,14.0,0.9980296717918682,pairwise_ari,0.9980296717918682
pairwise_seed_ari,5,0.0,15.0,0.997606647524386,pairwise_ari,0.997606647524386
pairwise_seed_ari,5,0.0,16.0,0.9978178552134457,pairwise_ari,0.9978178552134457
pairwise_seed_ari,5,0.0,17.0,0.997606647524386,pairwise_ari,0.997606647524386
pairwise_seed_ari,5,0.0,18.0,0.9967817233986609,pairwise_ari,0.9967817233986609
pairwise_seed_ari,5,0.0,19.0,0.992830798709891,pairwise_ari,0.992830798709891
pairwise_seed_ari,5,0.0,20.0,0.9987018779754022,pairwise_ari,0.9987018779754022
pairwise_seed_ari,5,0.0,21.0,0.9937585253329201,pairwise_ari,0.9937585253329201
pairwise_seed_ari,5,0.0,22.0,0.9972778555478593,pairwise_ari,0.9972778555478593
pairwise_seed_ari,5,0.0,23.0,0.9958605321066961,pairwise_ari,0.9958605321066961
pairwise_seed_ari,5,0.0,24.0,0.995912896712853,pairwise_ari,0.995912896712853
pairwise_seed_ari,5,0.0,25.0,0.9934011608864013,pairwise_ari,0.9934011608864013
pairwise_seed_ari,5,0.0,26.0,1.0,pairwise_ari,1.0
pairwise_seed_ari,5,0.0,27.0,0.9930560415911863,pairwise_ari,0.9930560415911863
pairwise_seed_ari,5,0.0,28.0,0.9978183415033558,pairwise_ari,0.9978183415033558
pairwise_seed_ari,5,0.0,29.0,0.9978178552134457,pairwise_ari,0.9978178552134457
pairwise_seed_ari,5,1.0,2.0,0.9980299134539016,pairwise_ari,0.9980299134539016
pairwise_seed_ari,5,1.0,3.0,0.9995633072641643,pairwise_ari,0.9995633072641643
pairwise_seed_ari,5,1.0,4.0,0.9997881590197113,pairwise_ari,0.9997881590197113
pairwise_seed_ari,5,1.0,5.0,0.9995764412859836,pairwise_ari,0.9995764412859836
pairwise_seed_ari,5,1.0,6.0,0.9992795105943212,pairwise_ari,0.9992795105943212
pairwise_seed_ari,5,1.0,7.0,0.9997881590197113,pairwise_ari,0.9997881590197113
